TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Month,Year,Txn_Category,Gap,Inactive_Flag,CreditAmount,DebitAmount
73,CUST9209,ACC10117,savings,transfer,Credit Card,Firm E,West,Manager 1,2023-01-30,57310.76365,79464.39475,0.354694312,354,60,2023-01,2023,credit,0.0,Active,57310.76365,0.0
34,CUST3109,ACC10117,savings,deposit,Home Loan,Firm E,West,Manager 3,2023-02-21,67555.28072,89667.83479,0.206170491,611,85,2023-02,2023,credit,22.0,Active,67555.28072,0.0
106,CUST8155,ACC10117,credit,deposit,Mutual Fund,Firm C,East,Manager 3,2023-06-18,63248.56067,31961.53479,0.736631057,573,109,2023-06,2023,credit,117.0,Inactive,63248.56067,0.0
169,CUST3810,ACC10117,loan,deposit,Home Loan,Firm B,East,Manager 4,2024-03-14,11366.36239,79334.2675,0.371512948,697,218,2024-03,2024,credit,270.0,Inactive,11366.36239,0.0
158,CUST3041,ACC10996,savings,withdrawal,Credit Card,Firm B,South,Manager 3,2023-05-08,11989.5023,45731.50391,0.74871881,557,233,2023-05,2023,debit,0.0,Active,0.0,11989.5023
93,CUST6776,ACC10996,savings,payment,Savings Account,Firm C,North,Manager 4,2023-10-19,61653.06253,42026.16291,0.289780501,510,103,2023-10,2023,debit,164.0,Inactive,0.0,61653.06253
88,CUST6776,ACC10996,credit,transfer,Home Loan,Firm C,North,Manager 2,2023-10-21,61545.77749,29389.27905,0.511806048,333,207,2023-10,2023,credit,2.0,Active,61545.77749,0.0
22,CUST6565,ACC10996,current,withdrawal,Mutual Fund,Firm A,Central,Manager 2,2024-01-29,52970.34507,55638.52488,0.593555197,550,201,2024-01,2024,debit,100.0,Inactive,0.0,52970.34507
26,CUST9843,ACC10996,credit,deposit,Credit Card,Firm E,North,Manager 4,2024-02-09,62580.86356,45054.56967,0.904874303,341,112,2024-02,2024,credit,11.0,Active,62580.86356,0.0
115,CUST8091,ACC11062,credit,payment,Mutual Fund,Firm B,Central,Manager 1,2023-11-08,15601.70053,40406.05293,0.216164214,384,71,2023-11,2023,debit,0.0,Active,0.0,15601.70053
62,CUST9666,ACC11062,savings,payment,Credit Card,Firm C,South,Manager 3,2024-02-08,-11587.43563,35868.21229,0.245529459,705,84,2024-02,2024,debit,92.0,Inactive,0.0,-11587.43563
6,CUST3378,ACC11188,loan,deposit,Home Loan,Firm A,East,Manager 2,2023-05-04,45748.34156,113773.1171,-0.155393617,538,181,2023-05,2023,credit,0.0,Active,45748.34156,0.0
63,CUST1840,ACC11188,current,withdrawal,Mutual Fund,Firm B,South,Manager 3,2023-06-18,39919.67269,85927.48122,0.282314157,406,216,2023-06,2023,debit,45.0,Active,0.0,39919.67269
25,CUST8155,ACC11188,credit,withdrawal,Personal Loan,Firm E,South,Manager 4,2023-10-24,67602.35218,78966.75783,0.314228296,517,207,2023-10,2023,debit,128.0,Inactive,0.0,67602.35218
134,CUST8288,ACC11188,savings,payment,Personal Loan,Firm C,East,Manager 1,2024-02-04,47961.61094,47274.09643,0.607606696,708,227,2024-02,2024,debit,103.0,Inactive,0.0,47961.61094
167,CUST1114,ACC11188,savings,transfer,Credit Card,Firm B,South,Manager 4,2024-03-21,56344.62622,22319.30264,0.420685464,730,19,2024-03,2024,credit,46.0,Active,56344.62622,0.0
17,CUST1376,ACC11285,loan,transfer,Credit Card,Firm D,East,Manager 1,2024-01-20,7884.431181,132959.5667,0.361196845,769,203,2024-01,2024,credit,0.0,Active,7884.431181,0.0
41,CUST2412,ACC11285,credit,payment,Home Loan,Firm C,West,Manager 4,2024-03-19,71220.84617,126302.662,0.65834246,502,211,2024-03,2024,debit,59.0,Active,0.0,71220.84617
109,CUST7345,ACC11285,current,transfer,Personal Loan,Firm A,West,Manager 1,2024-05-04,17624.33249,32941.81698,0.227824673,605,29,2024-05,2024,credit,46.0,Active,17624.33249,0.0
52,CUST7730,ACC11837,savings,transfer,Savings Account,Firm B,South,Manager 1,2023-01-28,26407.07559,168187.0333,0.856500416,596,147,2023-01,2023,credit,0.0,Active,26407.07559,0.0
157,CUST4241,ACC11837,credit,withdrawal,Savings Account,Firm C,West,Manager 3,2023-04-23,37383.95543,37839.88973,0.471181322,843,94,2023-04,2023,debit,85.0,Inactive,0.0,37383.95543
76,CUST7481,ACC11837,credit,withdrawal,Mutual Fund,Firm D,East,Manager 4,2023-05-08,35608.09975,91561.57148,0.396133542,365,203,2023-05,2023,debit,15.0,Active,0.0,35608.09975
154,CUST5545,ACC11837,credit,transfer,Home Loan,Firm D,Central,Manager 3,2024-03-01,45262.10034,41822.44027,0.468460198,416,231,2024-03,2024,credit,298.0,Inactive,45262.10034,0.0
37,CUST4763,ACC12182,savings,withdrawal,Credit Card,Firm A,Central,Manager 4,2023-05-24,47980.302,58815.83188,0.697284286,737,135,2023-05,2023,debit,0.0,Active,0.0,47980.302
23,CUST5545,ACC12182,savings,withdrawal,Personal Loan,Firm C,Central,Manager 1,2023-07-30,25651.05823,55358.99033,0.112824184,740,122,2023-07,2023,debit,67.0,Inactive,0.0,25651.05823
85,CUST3762,ACC12182,loan,deposit,Savings Account,Firm E,West,Manager 2,2023-09-11,28082.28269,80803.86237,0.691628149,708,67,2023-09,2023,credit,43.0,Active,28082.28269,0.0
27,CUST9731,ACC12182,loan,payment,Savings Account,Firm A,North,Manager 2,2023-10-16,51935.49405,140369.899,0.840355897,487,186,2023-10,2023,debit,35.0,Active,0.0,51935.49405
85,CUST1776,ACC12334,loan,deposit,Credit Card,Firm C,Central,Manager 2,2023-01-12,75577.44016,47448.59419,0.517124661,555,146,2023-01,2023,credit,0.0,Active,75577.44016,0.0
8,CUST4241,ACC12334,credit,transfer,Credit Card,Firm D,East,Manager 4,2023-08-10,10342.25612,126642.5838,0.424750948,598,187,2023-08,2023,credit,210.0,Inactive,10342.25612,0.0
33,CUST6549,ACC12334,credit,withdrawal,Savings Account,Firm C,Central,Manager 1,2023-10-21,87480.05448,74008.4331,0.729101374,319,200,2023-10,2023,debit,72.0,Inactive,0.0,87480.05448
79,CUST2944,ACC12334,credit,withdrawal,Savings Account,Firm E,West,Manager 1,2023-11-08,20721.72289,95566.95106,0.557657949,591,13,2023-11,2023,debit,18.0,Active,0.0,20721.72289
135,CUST5920,ACC12334,savings,withdrawal,Personal Loan,Firm A,North,Manager 3,2024-03-22,42566.45859,52392.23479,0.551197747,723,39,2024-03,2024,debit,135.0,Inactive,0.0,42566.45859
128,CUST9038,ACC12334,current,deposit,Personal Loan,Firm A,South,Manager 2,2024-05-22,73539.35745,72436.31036,0.279573754,718,146,2024-05,2024,credit,61.0,Inactive,73539.35745,0.0
187,CUST5253,ACC13357,loan,transfer,Home Loan,Firm D,West,Manager 1,2023-02-12,100849.9219,14080.34109,0.463796421,732,140,2023-02,2023,credit,0.0,Active,100849.9219,0.0
